Dates,Close Price,STOXX 600
Jan-03-2023,20.56,434.18
Jan-04-2023,20.62,440.19
Jan-05-2023,20.52,439.33
Jan-06-2023,20.18,444.42
Jan-09-2023,20.48,448.35
Jan-10-2023,20.38,445.71
Jan-11-2023,20.62,447.41
Jan-12-2023,20.64,450.22
Jan-13-2023,20.54,452.54
Jan-16-2023,20.8,454.63
Jan-17-2023,20.62,456.46
Jan-18-2023,20.86,457.53
Jan-19-2023,20.48,450.45
Jan-20-2023,20.88,452.12
Jan-23-2023,21.06,454.49
Jan-24-2023,21.32,453.38
Jan-25-2023,21.12,452.07
Jan-26-2023,21.14,453.98
Jan-27-2023,21.1,455.17
Jan-30-2023,20.2,454.4
Jan-31-2023,20.44,453.21
Feb-01-2023,20.54,453.09
Feb-02-2023,20.52,459.2
Feb-03-2023,20.62,460.77
Feb-06-2023,20.4,457.16
Feb-07-2023,20.4,458.19
Feb-08-2023,20.4,459.46
Feb-09-2023,20.24,462.31
Feb-10-2023,20.3,457.89
