date,ust3MTH_close
2020/7/1,0.142
2020/7/2,0.142
2020/7/5,0.145
2020/7/6,0.145
2020/7/7,0.147
2020/7/8,0.147
2020/7/9,0.134
2020/7/10,0.132
2020/7/12,0.132
2020/7/13,0.137
2020/7/14,0.145
2020/7/15,0.137
2020/7/16,0.114
2020/7/17,0.117
2020/7/20,0.117
2020/7/21,0.124
2020/7/22,0.122
2020/7/23,0.117
2020/7/24,0.109
2020/7/26,0.112
2020/7/27,0.104
2020/7/28,0.109
2020/7/29,0.101
2020/7/30,0.096
2020/7/31,0.094
2020/8/2,0.094
2020/8/3,0.089
2020/8/4,0.099
2020/8/5,0.101
2020/8/6,0.099
2020/8/7,0.099
2020/8/9,0.097
2020/8/10,0.099
2020/8/11,0.112
2020/8/12,0.106
2020/8/13,0.099
2020/8/14,0.099
2020/8/17,0.094
2020/8/18,0.106
2020/8/19,0.101
2020/8/20,0.096
2020/8/21,0.096
2020/8/23,0.096
2020/8/24,0.094
2020/8/25,0.101
2020/8/26,0.099
2020/8/27,0.101
2020/8/28,0.104
2020/8/31,0.106
2020/9/1,0.106
2020/9/2,0.106
2020/9/3,0.106
2020/9/4,0.112
2020/9/8,0.119
2020/9/9,0.112
2020/9/10,0.114
2020/9/11,0.112
2020/9/13,0.112
2020/9/14,0.109
2020/9/15,0.112
2020/9/16,0.112
2020/9/17,0.094
2020/9/18,0.091
2020/9/21,0.086
2020/9/22,0.099
2020/9/23,0.099
2020/9/24,0.099
2020/9/25,0.101
2020/9/27,0.096
2020/9/28,0.094
2020/9/29,0.096
2020/9/30,0.096
2020/10/1,0.091
2020/10/2,0.091
2020/10/4,0.091
2020/10/5,0.096
2020/10/6,0.099
2020/10/7,0.099
2020/10/8,0.096
2020/10/9,0.101
2020/10/13,0.099
2020/10/14,0.106
2020/10/15,0.104
2020/10/16,0.096
2020/10/18,0.104
2020/10/19,0.096
2020/10/20,0.101
2020/10/21,0.096
2020/10/22,0.091
2020/10/23,0.094
2020/10/26,0.089
2020/10/27,0.096
2020/10/28,0.096
2020/10/29,0.094
2020/10/30,0.094
2020/11/1,0.094
2020/11/2,0.091
2020/11/3,0.096
2020/11/4,0.094
2020/11/5,0.091
2020/11/6,0.094
2020/11/8,0.094
2020/11/9,0.096
2020/11/10,0.096
2020/11/11,0.096
2020/11/12,0.091
2020/11/13,0.091
2020/11/15,0.091
2020/11/16,0.084
2020/11/17,0.086
2020/11/18,0.086
2020/11/19,0.066
2020/11/20,0.068
2020/11/22,0.071
2020/11/23,0.076
2020/11/24,0.086
2020/11/25,0.086
2020/11/26,0.097
2020/11/27,0.081
2020/11/30,0.081
2020/12/1,0.086
2020/12/2,0.081
2020/12/3,0.081
2020/12/4,0.081
2020/12/7,0.076
2020/12/8,0.079
2020/12/9,0.076
2020/12/10,0.079
2020/12/11,0.076
2020/12/14,0.071
2020/12/15,0.076
2020/12/16,0.081
2020/12/17,0.086
2020/12/18,0.086
2020/12/20,0.086
2020/12/21,0.089
2020/12/22,0.089
2020/12/23,0.086
2020/12/24,0.089
2020/12/27,0.089
2020/12/28,0.094
2020/12/29,0.096
2020/12/30,0.081
2020/12/31,0.079
2021/1/3,0.076
2021/1/4,0.079
2021/1/5,0.084
2021/1/6,0.089
2021/1/7,0.086
2021/1/8,0.086
2021/1/10,0.086
2021/1/11,0.086
2021/1/12,0.086
2021/1/13,0.086
2021/1/14,0.081
2021/1/15,0.081
2021/1/18,0.081
2021/1/19,0.089
2021/1/20,0.081
2021/1/21,0.081
2021/1/22,0.079
2021/1/24,0.076
2021/1/25,0.076
2021/1/26,0.079
2021/1/27,0.071
2021/1/28,0.063
2021/1/29,0.058
2021/1/31,0.063
2021/2/1,0.056
2021/2/2,0.056
2021/2/3,0.046
2021/2/4,0.038
2021/2/5,0.033
2021/2/7,0.038
2021/2/8,0.03
2021/2/9,0.041
2021/2/10,0.041
2021/2/11,0.041
2021/2/12,0.041
2021/2/15,0.041
2021/2/16,0.041
2021/2/17,0.041
2021/2/18,0.038
2021/2/19,0.033
2021/2/21,0.03
2021/2/22,0.03
2021/2/23,0.033
2021/2/24,0.033
2021/2/25,0.043
2021/2/26,0.043
2021/2/28,0.041
2021/3/1,0.035
2021/3/2,0.041
2021/3/3,0.041
2021/3/4,0.038
2021/3/5,0.038
2021/3/7,0.036
2021/3/8,0.041
2021/3/9,0.041
2021/3/10,0.041
2021/3/11,0.038
2021/3/12,0.03
2021/3/14,0.03
2021/3/15,0.025
2021/3/16,0.018
2021/3/17,0.018
2021/3/18,0.015
2021/3/19,0.01
2021/3/21,0.015
2021/3/22,0.01
2021/3/23,0.015
2021/3/24,0.02
2021/3/25,0.02
2021/3/26,0.02
2021/3/28,0.02
2021/3/29,0.015
2021/3/30,0.023
2021/3/31,0.023
2021/4/1,0.018
2021/4/2,0.018
2021/4/4,0.02
2021/4/5,0.02
2021/4/6,0.02
2021/4/7,0.015
2021/4/8,0.015
2021/4/9,0.013
2021/4/11,0.013
2021/4/12,0.018
2021/4/13,0.02
2021/4/14,0.02
2021/4/15,0.015
2021/4/16,0.018
2021/4/18,0.015
2021/4/19,0.02
2021/4/20,0.025
2021/4/21,0.023
2021/4/22,0.02
2021/4/23,0.02
2021/4/25,0.02
